,input,target
32846,this is how we ve managed to last .,we re able to surprise each other .
32847,we re able to surprise each other .,in and out of bed .
32848,it s your best play nicky .,they ll lose because they re my team .
32849,they ll lose because they re my team .,he will absolutely hate it .
32850,i m seeing your play tonight remember ?,why do you need a radio ?
32851,that s completely crazy .,is it ?
32852,what will we talk about ?,everything .
32853,why won t you tell me your name ?,it s only our first date .
32854,what else ?,packs an emotional wallop .
32855,packs an emotional wallop .,what else ?
32856,what else ?,a flat out hit .
32857,yes .,this building is not secure .
32858,what do we want ?,mystery . deception .
32859,mystery . deception .,deception isn t something i personally consider sexy .
32860,deception isn t something i personally consider sexy .,what s sexy ?
32861,what s sexy ?,knowing who a person is . down deep .
32862,it s your best play nicky .,see daddy .
32863,your father said you might be here .,two all after six .
32864,i want to be fair minded nicky .,all right . what s been going on ?
32865,opening night lillian .,who the hell cares ?
32866,that s always been my problem .,and you ve been extremely patient .
32867,great game . red sox are winning .,they re always winning . until they lose .
32868,life is good .,life is good .
32869,washed away .,one more out .
32870,what did it say ?,a thousand things .
32871,a thousand things .,you re hurting my head .
32872,this could be it !,this could be it !
32873,life is true .,life is real .
32874,who is it ?,i m at the door .
32875,i m at the door .,go way . i ll call a cop .
32876,go way . i ll call a cop .,pop will you let me in ?
32877,pop will you let me in ?,where the hell are you ?
32878,where the hell are you ?,right here . at the door .
32879,what do you want ?,it s me . nicky .
32880,it s me . nicky .,nicky comes on sunday s .
32881,nicky comes on sunday s .,where are your glasses ? go get them .
32882,since when did that matter ?,let s not start that again .
32883,let s not start that again .,my back is killing me .
32884,what do you want me to do ?,show him who we are .
32885,how come you got the kid with you ?,matthew s my grandson .
32886,matthew s my grandson .,a grandmother . god bless you .
32887,now that s a complicated subject .,that s a simple subject .
32888,what am i doing ?,you re charming the boy .
32889,it s a complicated subject .,it s a simple subject .
32890,then say it .,life is good .
32891,life is good .,speak it like it s real . matthew .
32892,i don t know .,matthew .
32893,washed away .,because life is good .
32894,because life is good .,because faith is rewarded .
32895,this could be it !,this could be it !
32896,then they lost ?,why does it matter ?
32897,why do you care ?,they re my team .
32898,i hate the mets .,how come ?
32899,have to hurry back .,hurry back . hurry back to what ?
32900,game six is history pal .,you re not making sense .
32901,sidney remains optimistic .,sidney .
32902,i was educated by nuns .,yes .
32903,yes .,i have excellent long term memory .
32904,i have excellent long term memory .,yes .
32905,yes .,i kissed her while she was laughing .
32906,i kissed her while she was laughing .,yes .
32907,i think i remember .,so does elliot .
32908,so does elliot .,not one of steven s finer moments .
32909,not one of steven s finer moments .,oh . you know him .
32910,oh . you know him .,a little .
32911,a little .,and he has finer moments now and then .
32912,a little drastic maybe ?,say it again .
32913,say it again .,what ?
32914,what ?,you know what .
32915,you know what .,alla puttanesca .
32916,alla puttanesca .,one more time .
32917,i hear good things about the new play .,so do i . over and over .
32918,the fact is i have to get going .,is it true ?
32919,is it true ?,is what true ?
32920,is what true ?,he wears a disguise .
32921,do you think he can do it ?,i don t know .
32922,i don t know .,he s a very sweet man .
32923,he s a very sweet man .,where are you going now ?
32924,where are you going now ?,home .
32925,home .,someone waiting for you ?
32926,someone waiting for you ?,no one s waiting .
32927,yes .,never mind .
32928,what ? come on paisley .,our steven not only disguises himself .
32929,our steven not only disguises himself .,yes .
32930,yes .,he goes to the theater armed .
32931,stay . teach me to be compassionate .,i m going home to my machine .
32932,are you sure ?,yes i can t talk like this .
32933,i am your wife .,all the more reason .
32934,god gave you ten thumbs .,eleven .
32935,enough .,one more .
32936,that was lucky .,i thought you were a man of god .
32937,what d he say ?,he said he s in charge . . .
32938,tell me do you think about hell ?,hell !
32939,what can we do ?,we must end the campaign .
32940,you re an ambitious man .,i hope not .
32941,it s beautiful .,even as a boy i thought so .
32942,do you remember much of south africa ?,a great deal .
32943,we need your help !,there is nothing i can give .
32944,in england i was a poor student but i,that was england .
32945,the fools ! sorry . . .,it s split the government .
32946,will you have a glass of sherry ?,thank you . no .
32947,have you read his magazine ?,no but i think i m going to .
32948,how much extra ?,it would be five thousand more .
32949,not yet i m afraid .,no ? what s keeping you ?
32950,that s the last .,something s not right .
32951,what are you waiting for ?,where do we start ?
32952,it s not i exactly i him .,where did you get this ?
32953,how often do you test director ?,often .
32954,often .,surely you know what you have .
32955,we believe we have a suspect .,what a relief .
32956,hello .,jerome ?
32957,it s about the director .,again ?
32958,what s wrong with him ?,you have more in common than you know .
32959,six one .,he s too tall .
32960,you okay jerome ?,yeah . you want to go dancing tonight ?
32961,who died ?,the mission director .
32962,the mission director .,you wish .
32963,up there they wouldn t be a problem .,you know i m scared of heights .
32964,i m sorry . i m sorry .,it s okay eugene .
32965,it s all right .,i m proud of you vincent .
32966,call german .,any particular reason ?
32967,any particular reason ?,we can t stay here .
32968,we can t stay here .,what are you talking about ?
32969,what makes them think that ?,they found my eyelash .
32970,they found my eyelash .,where ?
32971,where ?,in a corridor .
32972,if you say so . the stripe .,good choice .
32973,how was your evening ?,complicated . i couldn t stop her apologizing .
32974,where are we going ?,i m sorry . i ve got plans .
32975,i m sorry . i ve got plans .,again ?
32976,where are you taking her ?,michael s .
32977,everybody goes there .,you may as well invite her here .
32978,you may as well invite her here .,will you be okay ?
32979,how are you jerome ?,not bad jerome .
32980,not bad jerome .,how the hell did you get here .
32981,why have you done this ?,in case you get back before i do .
32982,in case you get back before i do .,where are you going ?
32983,where are you going ?,i m travelling too .
32984,german is that you ?,vincent come down . i ve found him .
32985,yeah .,i d have to bleach my hair .
32986,you can wear lifts .,even with lifts i m never that tall .
32987,even with lifts i m never that tall .,there s a way .
32988,you worried about the cost ?,not that .
32989,hugo ! i ve found him !,i ve found him too .
32990,i was at home .,were i you i alone ?
32991,were i you i alone ?,yes .
32992,no .,why don t we say we were together ?
32993,why don t we say we were together ?,why would we do that ?
32994,we were just looking .,i know about you .
32995,have they found our friend ?,friend ?
32996,friend ?,it was a mercy killing after all .
32997,it was a mercy killing after all .,they found an eyelash .
32998,they found an eyelash .,where ?
32999,where ?,in the south wing .
33000,in the south wing .,does it have a name ?
33001,perhaps we ought to celebrate irene .,you celebrate jerome ?
33002,i envy you jerome .,you ll be next .
33003,of course i think about it every day .,of course .
33004,so you didn t do it after all .,i guess somebody beat me to it .
33005,why are we leaving ?,those checks take forever .
33006,what about the car ?,let s walk .
33007,let s walk .,who are they ?
33008,i can t .,come on .
33009,come on .,my medication . i left it back there .
33010,my medication . i left it back there .,we ll get it later . irene please .
33011,when you go away .,we could go together one day .
33012,a year is a long time .,not so long just once around the sun .
33013,what s this lamar ?,new policy .
33014,flight got you nervous ?,there s a problem lamar .
33015,what are you doing ?,i can t do this .
33016,the doctor will give you something .,i m not doing it .
33017,i m not doing it .,honey you ve made i one i mistake
33018,i ll take care of my end .,stay clean .
33019,hello mccoy .,beynon .
33020,three . . . rudy got ambitious .,and you got him . . .
33021,and you got him . . .,that s right .
33022,you hired jackson and rudy . not me .,they may nail me into this now mccoy .
33023,they may nail me into this now mccoy .,that s your problem .
33024,hello doc .,hi .
33025,hi .,you okay ?
33026,feel good ?,yeah .
33027,yeah .,where do you want to go ?
33028,where do you want to go ?,i want to take a walk .
33029,what s beynon got set up ?,small town small bank big money .
33030,where did you get those ?,i ve been doing my homework .
33031,i ve been doing my homework .,just like old times ?
33032,just like old times ?,better than old times .
33033,assumed name . . . houston .,good .
33034,half a million .,that beynon s got a long arm .
33035,that beynon s got a long arm .,what do you want for dinner ?
33036,how does it taste ?,just the way i remembered .
33037,boring .,nothing s been boring since you found me .
33038,nothing s been boring since you found me .,that s not all of it .
33039,that s not all of it .,no . it s been a long time .
33040,i guess i m kind of . . .,it s all right .
33041,it s all right .,it s just been a while .
33042,wait . . . give me a minute .,sure .
33043,really ?,really .
33044,how was it ?,better than i remembered .
33045,i was going to fix you breakfast .,you were asleep .
33046,you were asleep .,i bought you a lot of new things .
33047,right off the top .,is he straight ?
33048,is he straight ?,you got the parole didn t you ?
33049,that doesn t hurt .,but sometimes i cried a lot too .
33050,but sometimes i cried a lot too .,i didn t . i just waited .
33051,i didn t . i just waited .,want to cry now ?
33052,you know how i feel ?,my mind s not on guessing games .
33053,bullshit .,i mean it .
33054,doc . . .,i see it . . .
33055,why ?,there are three men dead .
33056,i don t want to go there .,do it my way .
33057,why didn t you tell me ?,there wasn t any way to explain it .
33058,there wasn t any way to explain it .,yeah .
33059,yeah .,you sent me to him .
33060,who s she ?,she s on tv .
33061,what do we do ?,we keep going .
33062,a man helped me open it . . .,and switched keys .
33063,and switched keys .,he must have .
33064,he must have .,it isn t another boyfriend is it ?
33065,how long ago .,fifteen minutes .
33066,fifteen minutes .,sure ?
33067,there better be a guy with the,you bastard . . .
33068,texas is a big state .,i can handle it .
33069,i can handle it .,i ll bet you can .
33070,do you mean that ?,i mean it .
33071,there may be a hunting party .,why there s nothing on the news ?
33072,why there s nothing on the news ?,i didn t mean police .
33073,that would be the first time .,when are you going to learn ?
33074,when are you going to learn ?,i did i killed a man .
33075,only one car .,let s do it .
33076,where are you going ?,el paso .
33077,how much ?,twenty eight hundred .
33078,are you hungry ?,not now .
33079,no scars ?,no scars .
33080,we better stick here till tonight .,yeah .
33081,we re going to make it .,sure . . .
33082,i want to say something .,i don t want to hear it .
33083,i don t want to hear it .,listen to me . it s hard enough .
33084,no more about beynon .,whatever happens it s over .
33085,sounds good .,you want to try with me ?
33086,you want to try with me ?,things can t get much worse can they ?
33087,things can t get much worse can they ?,i don t see how .
33088,okay .,you and me .
33089,you and me .,can we make it ?
33090,i ll be ready .,yeah .
33091,yeah .,what s wrong ?
33092,what s wrong ?,i don t know .
33093,you re crazy .,get your clothes on move your butt .
33094,come on come on .,who was it ?
33095,who was it ?,just get your clothes on . . .
33096,you okay ?,where do we go from here ?
33097,where do we go from here ?,i don t know airport i guess .
33098,how long before this car s hot ?,pull over .
33099,what now ?,we walk .
33100,no i m afraid not .,i never have any luck .
33101,i really hope you have a nice trip .,thanks . i hope yours is okay too .
33102,hope you get to where you re going .,thanks . hope you do too .
33103,all right . shells ?,two boxes of double ought buck .
33104,two boxes of double ought buck .,gonna knock down a wall ?
33105,gonna knock down a wall ?,might try that .
33106,where ?,chicago .
33107,chicago .,you were with him ?
33108,you were with him ?,yeah . i got out .
33109,yeah . i got out .,what about you ?
33110,suit yourself .,okay . how many bank exits ?
33111,okay . how many bank exits ?,two .
33112,two .,what about the vault ?
33113,wire pull over ?,one inch stuff on a three number combination .
33114,one inch stuff on a three number combination .,i m good at that .
33115,aren t we going a little hard ?,what do you have in mind ?
33116,just sandwiches . . .,right .
33117,he took the day off .,then you do it .
33118,then you do it .,can t leave the desk .
33119,drive .,suit yourself .
33120,how was that ?,just fine .
33121,just fine .,where we go in ?
33122,what s it to you ?,come on . how much ?
33123,come on . how much ?,bout five thousand .
33124,you serious ?,sure am .
33125,sure am .,and i keep my mouth shut ?
33126,and i keep my mouth shut ?,that s what i want .
33127,you got it .,how about twenty thousand ?
33128,that right ?,you can trust him . . .
33129,you can trust him . . .,how long have you been married ?
33130,how long have you been married ?,two years .
33131,two years .,can he trust you ?
33132,can he trust you ?,that s what matters isn t it ?
33133,i ve got to stop .,i ll tell you when .
33134,you can t get away from me albert .,i know .
33135,yes .,how ?
33136,when did you find out ?,a couple of weeks back .
33137,a couple of weeks back .,how ?
33138,what did you do ? albert ?,nothing . what could i do ?
33139,nothing . what could i do ?,did eric know that frank was my brother ?
33140,did eric know that frank was my brother ?,yes . i told him .
33141,yes . i told him .,what did he say ?
33142,what did he say ?,good .
33143,what do you want ?,what happened to this car ?
33144,what happened to this car ?,what s it got to do with you ?
33145,what s it got to do with you ?,this is my brother s car .
33146,this is my brother s car .,oh ay ?
33147,oh ay ?,yeah .
33148,yeah .,well he drove it into the river .
33149,what about the brakes ?,fine . nowt wrong with them .
33150,fine . nowt wrong with them .,how d it happen then ?
33151,how d it happen then ?,he was drunk . drunk as a lord .
33152,he was drunk . drunk as a lord .,was he ?
33153,i know .,well ?
33154,i made a mistake .,what ?
33155,what ?,i made a mistake .
33156,i made a mistake .,what about ?
33157,what about ?,never mind .
33158,that s not good enough .,christ what . . .
33159,jack you re wrong .,good afternoon mr brumby . carter exits .
33160,good afternoon mr brumby . carter exits .,jack . . .
33161,jack ?,good evening .
33162,good evening .,i d like a word with you jack .
33163,i d like a word with you jack .,that s nice .
33164,who paid you to see me off ?,i can t jack . how can i ?
33165,i can t jack . how can i ?,yes you can .
33166,no don t jack don t .,who sent you thorpey ?
33167,who sent you thorpey ?,brumby !
33168,what about ?,doreen .
33169,i want to talk to you later .,i can t .
33170,i can t .,tomorrow morning then ?
33171,how were things between you and frank ?,he was all right to me .
33172,he was all right to me .,nothing more ? just another feller ?
33173,nothing more ? just another feller ?,nicer than most .
33174,yes .,though nicer than most ?
33175,why d you see him so regular ?,once a week ?
33176,once a week ?,i call that regular .
33177,you know sid fletcher ?,what ?
33178,what ?,you know sid fletcher ?
33179,you know sid fletcher ?,i work for him .
33180,i work for him .,do you ?
33181,do you ?,yes i do .
33182,i know him too .,who ?
33183,who ?,sid fletcher .
33184,sid fletcher .,oh do you ?
33185,oh do you ?,yes .
33186,yes .,no do you really ?
33187,yes . i met him last year .,go on .
33188,really ?,he came to see mr kinnear .
33189,he came to see mr kinnear .,no .
33190,we went about together .,really ?
33191,really ?,yes while he was here .
33192,he was here for four days .,was he ?
33193,was he ?,could you do me a favour ?
33194,could you do me a favour ?,yeah i ll do you a favour .
33195,and what was that ?,we re there now .
33196,who s setting you up in this place ?,brumby .
33197,brumby .,is he coming here ?
33198,entertaining .,what kind of entertaining ?
33199,what kind of entertaining ?,now you re asking .
33200,that s why you waited for me .,not entirely . no .
33201,not entirely . no .,you sure about that ?
33202,you sure about that ?,sure i m sure .
33203,i want to give you an oscar .,you ve been watching the film .
33204,you ve been watching the film .,tell me about the girl .
33205,tell me about the girl .,what girl ?
33206,what girl ?,the young girl . who pulled her ?
33207,the young girl . who pulled her ?,i don t know .
33208,i don t know .,was it albert ?
33209,was it albert ?,shouldn t think so .
33210,shouldn t think so .,is it one of kinnear s films ?
33211,is it one of kinnear s films ?,yeah .
33212,yeah .,who set it up ? eric ?
33213,who set it up ? eric ?,yeah .
33214,yeah .,then he must have pulled her .
33215,then he must have pulled her .,expect so .
33216,expect so .,did my brother frank find out ?
33217,did my brother frank find out ?,your brother ? what you talking about ?
33218,and you didn t know her last name ?,no .
33219,look look . get your suit cleaned .,no . it s all right .
33220,no . it s all right .,thanks for coming .
33221,sorry about your father .,yeah .
33222,yeah .,tell me doreen did the police say anything ?
33223,tell me doreen did the police say anything ?,they said he was drunk .
33224,how s school ?,i left last year .
33225,i left last year .,oh what you doing now ?
33226,that must be interesting .,yes .
33227,you all right now ?,yeah .
33228,yeah .,you coming to south america ?
33229,you coming to south america ?,no .
33230,where you going to live then ?,at me friend s house .
33231,at me friend s house .,where s that ?
33232,did you work with him keith ?,at the half moon .
33233,i mean what for ?,that s what i was wondering .
33234,since when did he drink whisky ?,don t know .
33235,don t know .,nobody seems to know .
33236,you work here keith ?,yes .
33237,yeah . he comes in here a bit .,where would i find him ?
33238,what you having jack ?,large scotch .
33239,nowt .,good lad .
33240,see you later .,where you off to ?
33241,where you off to ?,las vegas .
33242,how many ?,four of them .
33243,what happened to you then ?,how d you find me ?
33244,i won t be using the room tonight .,i see .
33245,i see .,i m staying with a friend .
33246,it s not like that luv .,it never is .
33247,definitely .,will this do ?
33248,what is it ?,my brother frank .
33249,my brother frank .,is he staying the night ?
33250,is he staying the night ?,funny . can i phone london ?
33251,funny . can i phone london ?,it ll cost you .
33252,i m sorry .,you don t look it .
33253,you don t look it .,no . really i am .
33254,i ll call the police .,no you won t .
33255,you sod .,they came back ?
33256,they came back ?,no .
33257,what ll they do to him ?,don t ask me .
33258,they bloody hurt me .,you re lucky . they kill as well .
33259,thorpey nearly died laughing .,that little shit !
33260,that little shit !,what about keith ?
33261,what about keith ?,what about keith ?
33262,what about keith ?,what you going to do ?
33263,you wouldn t .,how d you know i wouldn t ?
33264,how d you know i wouldn t ?,cos i know you wear purple underwear .
33265,cos i know you wear purple underwear .,what s that supposed to mean ?
33266,what s that supposed to mean ?,think about it .
33267,are you awake ?,no .
33268,no .,do you want breakfast ?
33269,did you sleep well ?,yes thank you .
33270,are you tired ?,no . are you tired ?
33271,do us a favour ?,what and get myself beaten up again ?
33272,what and get myself beaten up again ?,no chance of that .
33273,no chance of that .,not much .
33274,not much .,they re friends of mine .
33275,they re friends of mine .,and that ll make me feel better ?
33276,you coming back ?,how could i stay away ?
33277,is he ?,jack carter .
33278,no i didn t know that .,funny that .
33279,no . i m visiting relatives .,oh that s nice .
33280,meaning what ?,a bereavement . a death in the family .
33281,a bereavement . a death in the family .,oh i m sorry to hear that .
33282,oh i m sorry to hear that .,that s all right eric .
33283,scotch please .,piss off ray .
33284,eric told me of your bereavement .,yep .
33285,yeah .,nasty way to go .
33286,nasty way to go .,yes .
33287,not going jack ?,i have to . things to see to .
33288,gerald wants to see him first .,shut up .
33289,they do that up north .,what for ? protective purposes ?
33290,what s that ? a hundred ?,that s right harry .
33291,that s right harry .,your hundred and another hundred .
33292,three hundred altogether ?,three hundred altogether harry .
33293,all right . two hundred .,ha .
33294,four hundred ?,that s right .
33295,that s right .,you re not seeing me ?
33296,you re not seeing me ?,no .
33297,i ll see you then .,calling my bluff are you harry ?
33298,i had to .,you had to yeah . why ?
33299,you had to yeah . why ?,to get on the . . .
33300,mmm . . .,you ever get em ?
33301,you ever get em ?,well i think i had one once .
33302,well i think i had one once .,you did ?
33303,you did ?,i . . .i don t know .
33304,they did .,they killed the goose .
33305,they killed the goose .,they did .
33306,they did .,and now . . .
33307,and now . . .,we re stuck with this . . .
33308,. . .this shit . . .,it s too . . .
33309,it s too . . .,it is .
33310,it is .,eh ?
33311,eh ?,it s too . . .
33312,i i . . .i . . .,some contest board . . .
33313,some contest board . . .,i . . .
33314,i . . .,it s not right .
33315,it s not .,no .
33316,that s right ?,eh . . . ?
33317,eh . . . ?,that s right ?
33318,. . .that s right . . .,eh ?
33319,eh ?,no . that s absolutely right .
33320,he is ?,he s doing very well .
33321,he s doing very well .,i heard that they were running cold .
33322,i heard that they were running cold .,the nurses ?
33323,the nurses ?,yes .
33324,what ?,starting up .
33325,starting up .,what hard part ?
33326,what ?,just the act .
33327,just the act .,what act ?
33328,huh .,you don t ax your sales force .
33329,you don t ax your sales force .,no .
33330,no .,you . . .
33331,you . . .,you . . .
33332,you . . .,you build it !
33333,you build it !,that s what i . . .
33334,. . .you re absolutely right .,they . . .
33335,they . . .,they have . . .
33336,they have . . .,when they . . .
33337,what ?,someone should stand up and strike back .
33338,someone should stand up and strike back .,what do you mean ?
33339,what do you mean ?,somebody . . .
33340,somebody . . .,yes . . . ?
33341,yes . . . ?,should do something to them .
33342,should do something to them .,what ?
33343,someone should hurt them .,yes .
33344,yes .,how ?
33345,someone should rob the office .,huh .
33346,yes .,how do you know he d buy them ?
33347,how do you know he d buy them ?,graff ? because i worked for him .
33348,graff ? because i worked for him .,you haven t talked to him .
33349,no we re just . . .,we re just talking about it .
33350,as an idea .,yes .
33351,yes .,we re not actually talking about it .
33352,no .,talking about it as a . . .
33353,talking about it as a . . .,no .
33354,no .,as a robbery .
33355,as a robbery .,as a robbery ? ! no .
33356,as a robbery ? ! no .,well . well . . .
33357,well . well . . .,hey .
33358,you didn t ?,no . not actually .
33359,no . not actually .,did you ?
33360,did you ?,what did you say ?
33361,you re actually talking about this ?,that s right .
33362,you re going to steal the leads ?,have i said that ?
33363,did i say that ?,did you talk to graff ?
33364,did you talk to graff ?,is that what i said ?
33365,is that what i said ?,what did he say ?
33366,yes .,what will he pay ?
33367,what will he pay ?,a buck a shot .
33368,a buck a shot .,for five thousand ?
33369,a job with graff .,is that what i said ?
33370,is that what i said ?,he d give me a job .
33371,he d give me a job .,he would take you on . yes .
33372,what ?,what ? what ? the leads .
33373,what ? what ? the leads .,you have to steal the leads tonight ?
33374,you . . .,i m sorry ?
33375,i m sorry ?,you .
33376,yes .,i . . .
33377,dave .,yes .
33378,oh yes george .,what does that mean ?
33379,why would they come to me ?,they re going to come to everyone .
33380,they re going to come to everyone .,why would i do it ?
33381,no .,are you sure ?
33382,are you sure ?,yes . i m sure .
33383,me ?,absolutely .
33384,absolutely .,that s ridiculous .
33385,i didn t ask to be .,then tough luck george because you are .
33386,you went for it .,in the abstract . . .
33387,in the abstract . . .,so i m making it concrete .
33388,so i m making it concrete .,why ?
33389,do you need five grand ?,is that what i just said ?
33390,i do ?,yes .
33391,and why is that ?,because you listened .
33392,can we get some coffee . . . ?,how ya doing ?
33393,fine .,uh huh .
33394,yes .,huh ?
33395,huh ?,yes . they are old .
33396,yes . they are old .,they re ancient .
33397,they re ancient .,clear . . .
33398,clear . . .,clear meadows . that shit s dead .
33399,it is dead .,it s a waste of time .
33400,it s a waste of time .,yes . i m no fucking good .
33401,yes . i m no fucking good .,that s . . .
33402,that s . . .,everything i . . .you know . . .
33403,they stole . . .,they stole the . . .
33404,he said we . . .,to the cops ?
33405,to the cops ?,yeah .
33406,the cops ?,yes . the cops . no .
33407,yes . the cops . no .,they aren t ?
33408,they aren t ?,no .
33409,no .,why don t you think so ?
33410,where were you ?,where was i ?
33411,where was i ?,yes .
33412,yes .,i was at home where were you ?
33413,i was at home where were you ?,at home .
33414,was i ?,yes .
33415,yes .,no .
33416,no .,you have nothing to hide .
33417,yeah . you know who doesn t ?,no who ?
33418,no who ?,thieves .
33419,thieves .,why ?
33420,you think so ?,yes .
33421,did they . . . ?,you understand ?
33422,you understand ?,did they catch . . . ?
33423,did the leads come in yet ?,no .
33424,no .,oh god i hate this job .
33425,you . . .,that s great .
33426,that s great .,thank you george .
33427,rick i m going to flag a cab .,i didn t rob . . .
33428,who used to say that ?,in school .
33429,what ?,that they re going to be upset .
33430,just go to lunch .,i don t want to go to lunch .
33431,i don t want to go to lunch .,go to lunch george .
33432,excuse me sir . . .,did they get my contracts ?
33433,excuse me fella .,. . .did they . . .
33434,. . .did they . . .,would you excuse us please . . . ?
33435,what about the other two ?,what two ?
33436,. . .no . . .,. . .then . . .
33437,. . .then . . .,. . .i only . . .
33438,under him ?,moss .
33439,murray . . .,. . .you talk to murray . . .
33440,murray said . . .,john . john . . .
33441,either way . you re out .,i m out .
33442,i m out .,yes .
33443,of what ?,and what if you don t close .
33444,and what if you don t close .,i will close .
33445,alright .,and fifty bucks a lead .
33446,alright .,good . now we re talking .
33447,now ? now ?,now . yes . . .when ?
33448,why ?,because i say so .
33449,you want something off the b list ?,yeah . yeah .
33450,that s alright .,the deal still stands our other thing .
33451,what happened ?,somebody broke in .
33452,the leads are coming .,get em to me !
33453,you are ?,yes i am .
33454,yes i am .,what are you trying to tell me ?
33455,how do you know i made it up ?,what ?
33456,what ?,how do you know i made it up ?
33457,how do you know i made it up ?,what are you talking about ?
33458,well hadn t it ?,no . it hadn t .
33459,you re so full of shit .,you robbed the office .
33460,you robbed the office .,sure ! i robbed the office . sure .
33461,five thousand . i kept half .,who kept the other half ?
33462,do i have to tell you ? moss .,that was easy wasn t it ?
33463,it was his idea .,was it ?
33464,uh huh ?,he told me my share was twenty five .
33465,he told me my share was twenty five .,mmm .
33466,call up the bank . i called them .,you did ?
33467,don t .,i m sorry .
33468,i m sorry .,why ?
33469,why ?,because i don t like you .
33470,because i don t like you .,john john . . .my daughter . . .
33471,john john . . .my daughter . . .,fuck you .
33472,you did that ?,eighty two thousand dollars .
33473,eight units ?,that s right .
33474,that s right .,shelly . . . !
33475,they took the phones . . .,they . . .
33476,when ?,last night this morning .
33477,they took the leads ?,mmm .
33478,just now .,guess who ?
33479,how was it . . . ?,from the store .
33480,from the store .,fuck her . . .
33481,uh . . .,home . . .
33482,home . . .,home cooking . . .
33483,home cooking . . .,the monthly interview . . . ?
33484,the monthly interview . . . ?,oh ! for the magazine . . .
33485,you re sure ?,go ahead .
33486,what ?,kenilworth . . . ?
33487,kenilworth . . . ?,i m sorry . . . ?
33488,i m sorry . . . ?,kenilworth .
33489,me .,yeah .
33490,yeah .,mm .
33491,did i . . . ?,yes .
33492,yes .,i don t know .
33493,what do i . . . ?,yes .
33494,yes .,mmmm . . .
33495,three days .,to . . .you know .
33496,no i don t know . tell me .,to change our minds .
33497,to change our minds .,of course you have three days .
33498,wednesday thursday friday .,i don t understand .
33499,you don t count saturday .,i m not .
33500,if we wait till mon . . .,when did you write the check ?
33501,what was yesterday ?,tuesday .
33502,tuesday .,and when was that check cashed ?
33503,and when was that check cashed ?,i don t know .
33504,it s not me it s my wife .,what is ?
33505,what is ?,i told you .
33506,i told you .,tell me again .
33507,what s going on here ?,tell me again . your wife .
33508,tell me again . your wife .,i told you .
33509,i told you .,you tell me again .
33510,you tell me again .,she wants her money back .
33511,she wants her money back .,we re going to speak to her .
33512,we re going to speak to her .,no . she told me right now .
33513,no . she told me right now .,we ll speak to her jim . . .
33514,we ll speak to her jim . . .,she won t listen .
33515,she told me i have to .,no jim .
33516,what does that mean ?,that . . .
33517,i . . .,what . . . ?
33518,what . . . ?,i . . .
33519,i . . .,what . . . ? say the words .
33520,what power ?,the power to negotiate .
33521,the power to negotiate .,to negotiate what ? to negotiate what ?
33522,to negotiate what ? to negotiate what ?,this .
33523,this .,what this ?
33524,what ?,and the check is . . .
33525,what are the police doing ?,it s nothing .
33526,you cashed the check ?,not to my knowledge no . . .
33527,guess what the machine did ?,fuck the machine .
33528,fuck the machine .,mountain view . eight units .
33529,you hear what i said ?,yeah . he closed a deal .
33530,yeah . he closed a deal .,eight units . mountain view .
33531,eight units . mountain view .,you did that ?
33532,fuck you .,guess who ?
33533,guess who ?,when . . .
33534,we haven t got a lead . . .,why not ?
33535,why not ?,they took em . . .
33536,what is this your farewell speech ?,i m going home .
33537,i m going home .,your farewell to the troops ?
33538,they didn t get my contracts .,they excuse me . . .
33539,they didn t get the contracts .,did they . . .
33540,did they . . .,they got listen to me . . .
33541,they got listen to me . . .,the . . .
33542,listen to me they got some of them .,some of them . . .
33543,you closed him yesterday .,yes .
33544,yes .,it went down . i filed it .
33545,it went down . i filed it .,you did ?
33546,you did ?,yes .
33547,three ? i count two .,three .
33548,john . . .,your contract went out to the bank .
33549,are you alright ?,yes .
33550,yes .,did you like your party ?
33551,did you like your party ?,i got lots of presents .
33552,i got lots of presents .,do you like them ?
33553,did you see my present for you ?,no where is it ?
33554,no where is it ?,on your pillow .
33555,just a few days .,will you take me ?
33556,will you take me ?,i can t .
33557,i can t .,why do you have to go ?
33558,why do you have to go ?,to do business .
33559,to do business .,i can help you .
33560,i can help you .,some day you will .
33561,your friend lives in a fine building .,oh yes the very best .
33562,what took so long ?,she couldn t decide .
33563,yes thank you .,how are the kids ?
33564,i got surprises for everybody !,bought at the airport .
33565,you re not my father !,then why do you come to me ?
33566,then why do you come to me ?,because i need money !
33567,is kay coming ?,no .
33568,i want to talk to you michael .,the children can stay .
33569,goddamn bitch .,relax freddie honey . come dance with me .
33570,would you like some ?,no dad .
33571,it s not talk i m doing it .,you would risk your life for strangers ?
33572,you would risk your life for strangers ?,not for strangers for my country .
33573,i m not afraid of his words .,he is weak .
33574,he is weak .,he will grow strong .
33575,he will grow strong .,the child cannot harm you .
33576,ready frankie .,let s go .
33577,hey mike what can i say ?,forget it just go take care of her .
33578,no .,wait ll you see !
33579,it was frankie tried to have me hit .,no . i mean are you sure ?
33580,no . i mean are you sure ?,you know otherwise freddie ?
33581,beautiful .,beautiful .
33582,i bet you can t guess what happened ?,what ?
33583,that s off now .,i m going to see my parents .
33584,hello ?,she s gone tom .
33585,you re going to talk to him now .,yes .
33586,yes .,will you tell him ?
33587,will you tell him ?,i don t know .
33588,me too tom ?,yeah give me a minute .
33589,if you need anything just . . .,just tell rocco i m waiting .
